Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
342,1,0,0,0,1,-1,0
4146,1,0,0,0,1,-1,0
492,2,2,0,0,0,0,2
2642,1,1,0,0,0,0,1
399,1,0,0,1,0,1,0
1350,1,0,0,1,0,1,0
3931,1,0,1,0,0,0,-1
1574,1,0,0,0,1,-1,0
16,2,0,0,1,1,0,0
1831,1,0,0,0,1,-1,0
1583,1,1,0,0,0,0,1
4090,1,0,0,1,0,1,0
1425,2,0,0,2,0,2,0
568,1,0,0,1,0,1,0
2377,1,0,1,0,0,0,-1
1515,1,0,1,0,0,0,-1
148,2,0,1,0,1,-1,-1
4083,2,0,0,0,2,-2,0
3981,1,0,0,0,1,-1,0
533,1,0,1,0,0,0,-1
3574,1,0,1,0,0,0,-1
1671,1,0,0,0,1,-1,0
25,2,0,0,1,1,0,0
4069,26,4,6,8,8,0,-2
4308,12,1,3,4,4,0,-2
4343,32,7,9,6,10,-4,-2
3933,1,0,0,1,0,1,0
4258,1,1,0,0,0,0,1
3705,6,1,1,3,1,2,0
4250,1,0,0,1,0,1,0
4022,1,0,0,1,0,1,0
4147,2,0,1,0,1,-1,-1
4357,5,0,1,2,2,0,-1
3527,2,0,2,0,0,0,-2
4236,1,0,0,0,1,-1,0
4001,12,3,0,2,7,-5,3
4372,3,0,1,1,1,0,-1
288,5,0,3,1,1,0,-3
4200,2,1,0,0,1,-1,1
244,4,1,1,0,2,-2,0
216,8,1,3,0,4,-4,-2
4152,18,3,3,3,9,-6,0
3683,27,14,4,4,5,-1,10
3278,4,1,2,0,1,-1,-1
4627,4,0,2,1,1,0,-2
4633,2,0,0,0,2,-2,0
4334,7,1,0,1,5,-4,1
4719,2,1,0,0,1,-1,1
4205,4,1,0,1,2,-1,1
4604,2,0,0,1,1,0,0
4751,3,0,1,1,1,0,-1
4606,2,0,1,1,0,1,-1
4497,2,0,0,2,0,2,0
4733,3,0,0,1,2,-1,0
4720,3,0,1,0,2,-2,-1
1772,6,0,1,3,2,1,-1
4625,3,1,0,0,2,-2,1
4771,2,0,1,1,0,1,-1
4634,1,0,1,0,0,0,-1
1691,1,0,1,0,0,0,-1
4591,2,0,1,1,0,1,-1
3354,1,0,1,0,0,0,-1
2783,1,0,1,0,0,0,-1
4828,1,0,1,0,0,0,-1
3171,2,0,0,1,1,0,0
503,2,0,0,0,2,-2,0
2619,1,1,0,0,0,0,1
1569,1,0,0,1,0,1,0
217,2,0,0,2,0,2,0
2080,1,0,1,0,0,0,-1
4505,1,0,1,0,0,0,-1
4487,1,0,0,0,1,-1,0
4629,1,0,0,0,1,-1,0
1646,1,0,0,0,1,-1,0
180,1,0,1,0,0,0,-1
1885,1,0,1,0,0,0,-1
1523,1,0,0,0,1,-1,0
4451,1,0,0,0,1,-1,0
4652,1,0,0,1,0,1,0
2352,1,0,0,1,0,1,0
341,1,0,0,1,0,1,0
4476,13,2,2,2,7,-5,0
3802,1,0,0,0,1,-1,0
2471,2,0,0,1,1,0,0
1251,1,0,0,0,1,-1,0
225,1,1,0,0,0,0,1
2789,1,0,0,1,0,1,0
3476,1,0,0,1,0,1,0
4666,1,0,1,0,0,0,-1
1410,1,0,1,0,0,0,-1
3137,4,1,0,0,3,-3,1
79,1,0,0,0,1,-1,0
3280,1,0,0,0,1,-1,0
514,2,0,2,0,0,0,-2
694,3,1,0,0,2,-2,1
4797,3,1,0,0,2,-2,1
4640,1,1,0,0,0,0,1
3059,1,1,0,0,0,0,1
333,1,0,0,1,0,1,0
810,1,0,0,1,0,1,0
237,1,0,0,1,0,1,0
3760,1,1,0,0,0,0,1
1155,1,1,0,0,0,0,1
640,1,0,0,1,0,1,0
369,1,0,0,1,0,1,0
999,1,1,0,0,0,0,1
1382,1,1,0,0,0,0,1
1880,1,0,0,1,0,1,0
4528,1,0,0,1,0,1,0
4191,1,0,0,1,0,1,0
353,3,1,2,0,0,0,-1
354,1,0,0,1,0,1,0
4773,1,0,0,1,0,1,0
4571,1,0,0,1,0,1,0
1600,1,1,0,0,0,0,1
4012,1,1,0,0,0,0,1
4263,1,0,0,1,0,1,0
4789,1,0,0,1,0,1,0
806,1,0,0,1,0,1,0
743,1,0,1,0,0,0,-1
1230,1,0,1,0,0,0,-1
884,2,0,1,0,1,-1,-1
4383,1,0,0,0,1,-1,0
334,1,0,0,0,1,-1,0
3419,1,1,0,0,0,0,1
395,1,0,0,1,0,1,0
421,1,0,0,1,0,1,0
2265,2,1,0,0,1,-1,1
3004,1,0,0,1,0,1,0
2601,1,0,0,1,0,1,0
3204,1,0,0,1,0,1,0
4039,20,8,3,4,5,-1,5
4704,2,1,0,1,0,1,1
3560,9,1,3,3,2,1,-2
4732,3,0,2,1,0,1,-2
4825,1,1,0,0,0,0,1
4518,2,0,1,1,0,1,-1
4814,2,1,1,0,0,0,0
4688,6,1,1,1,3,-2,0
4817,1,0,0,1,0,1,0
4595,4,0,2,1,1,0,-2
4659,2,0,0,0,2,-2,0
