Team,Elo Rating for Bonus RPs
frc6033,-666.5038257911939
frc7160,7178.797313751795
frc6561,-2180.3879922680558
frc5424,6433.578425494836
frc5086,758.2196266458964
frc6122,-3761.642274366957
frc6100,2051.225216220729
frc5878,26.807873018439953
frc5162,-1373.6326593713811
frc8611,-2178.9406639678323
frc7855,28.048692456891825
frc5227,-2966.460894786805
frc7911,-2965.436570014453
frc6877,3767.7521248116545
frc8397,760.2371151550777
frc7256,1395.5602811039312
frc7818,34.35048318144938
frc302,5754.298873842381
frc4422,3773.526066601458
frc4381,5090.64289534192
frc3656,7177.633533697469
frc4216,9032.613646229307
frc2832,5093.598470935741
frc5066,764.4445450503188
frc6861,7178.217239731863
frc7197,7179.261300250087
frc1023,6515.301413061056
frc5676,2053.8109927063083
frc7166,5097.351891495367
frc2611,8255.191983969295
frc7501,7748.370100657622
frc8297,40.6063470647953
frc9210,-646.2816852316913
frc3322,5758.314611340839
frc5090,2598.402573933722
frc9312,5763.045604868288
frc8373,42.286199890915405
frc2834,6435.68009263236
frc6556,1401.6807315796782
frc1502,-1361.7041866310838
frc7660,-1361.3951552502613
frc7656,-2175.436854005122
frc6570,2058.501629053785
frc5144,1406.5547127693758
frc6150,48.81318971955724
frc9209,1408.6959866619743
frc8300,-637.1952167941041
frc8423,-2174.257505246337
frc8522,-2952.289031306187
frc9183,-4553.763428629383
frc5084,51.658942642965144
frc4453,5767.838918343052
frc7221,1410.8551115635921
frc5205,-4553.66023354868
frc5559,-2173.206034710317
frc1506,6444.865022634422
frc5460,8250.037534537238
frc70,7179.456974229083
frc33,7743.471623215289
frc4130,8247.1613800453
frc3668,5788.054139170424
frc245,5779.232052486467
frc7491,2060.428146717379
frc9242,5781.091294456342
frc5641,1415.8578189232119
frc6067,-1356.2179165377866
frc6610,-1355.981816854414
frc5436,6435.533850468822
frc4998,3151.0147365577523
frc322,56.51452552063756
frc5660,8244.381431769614
frc9207,7179.321666062971
frc8193,-2170.173981921195
frc2145,3153.500461112561
frc5538,-1355.137247502514
frc4994,782.836853712827
frc5282,-3753.290204934826
frc6102,-2168.270347682252
frc5193,59.873801350164534
frc5697,-1354.0659206273353
frc8767,-622.9096085821179
frc5527,60.974621674433166
frc7247,-2162.463187347626
frc1701,5788.818450990704
frc7790,4427.844295513446
frc5260,784.0340626679214
frc6631,-617.2646861010476
frc6073,64.78250323306106
frc8385,65.80537954985783
frc8728,7742.375987586501
frc6091,-1351.309007014347
frc894,-2155.475816557395
frc9251,1418.8808817867232
frc7784,-4553.338528785677
frc3538,6623.670374310034
frc67,6445.143714544834
frc4362,7182.679044750743
frc548,5121.322010547752
frc503,3998.253973173465
frc1025,3816.1072028148606
frc6344,-1350.8313740600809
frc7598,788.0685454502536
frc5167,7182.471951980382
frc308,3816.0022202508317
frc27,6446.937257494022
frc5561,8236.650307478982
frc3414,3818.2536413861553
frc7056,8235.09500354119
frc5053,789.0134354925858
frc8899,-1350.3781356163488
frc7553,2621.3442906524842
frc9204,5800.302658878512
frc7178,790.3371935338914
frc6120,2068.5936594254904
frc2224,76.52418549710178
frc7224,1426.4493043288492
frc6591,-1349.6986145553792
frc9239,-2148.7947594969
frc6528,-603.4213892007359
frc66,3820.998317891765
frc6029,-1348.615715628329
frc6618,2069.9168589310766
frc4737,79.1603501486185
