Team,Title,Published At,Subscriber Count,View Count,Video Count
4153,FRC Team 4153 - Project Y,2012-01-13T06:53:52Z,69,10318,66
4159,CardinalBotics,2011-10-09T00:04:43Z,185,32203,214
4180,"Iron Riders, FRC 4180",2014-02-20T17:58:27Z,23,8347,34
4213,MetalCow Robotics,2012-01-12T05:34:54Z,42,3987,21
4264,Team4264,2013-01-31T07:28:34Z,41,1988,18
4265,frc4265,2012-01-13T04:37:35Z,343,100092,255
4296,Trident Robotics Team 4296,2012-01-14T15:07:58Z,162,73425,182
4322,Clockwork,2013-02-15T01:23:19Z,73,28364,183
4334,Team4334ATA,2012-01-19T17:31:09Z,140,35436,22
4418,Impulse 4418,2014-01-11T15:22:08Z,41,6434,22
4456,Mech Cadets FRC Team 4456,2013-04-08T19:51:19Z,46,6854,67
4476,W.A.F.F.L.E.S. Community Robotics,2013-02-16T01:35:12Z,4970,1148721,288
4480,Team 4480 UC-Botics,2013-01-17T23:34:01Z,55,35447,74
4512,Otter Chaos,2012-11-16T06:48:36Z,133,8653,14
4537,Team RoboRoos,2014-10-07T13:02:31Z,159,16302,59
4610,FRC4610,2013-03-25T01:57:59Z,17,1559,48
4611,Ozone Robotics | Team 4611,2013-06-03T18:25:21Z,78,14098,93
4775,Aztech Robotics,2012-11-10T22:03:53Z,370,25893,56
4914,Team 4914,2014-03-20T04:58:19Z,55,10780,19
4931,FRC Team 4931,2014-02-17T21:12:43Z,37,1702,9
5012,Team 5012 Gryffingear,2013-10-17T21:55:30Z,261,65144,64
5084,fridgebot,2007-04-06T21:15:25Z,10,218,3
5090,FRC 5090 - TorqueNados,2014-01-10T02:25:57Z,121,20425,95
5123,YMHS Mechadogs - FRC 5123,2014-03-01T02:53:25Z,67,6136,26
5124,West Torrance Robotics,2013-03-16T03:51:09Z,160,55169,108
5196,Breaking Bot - Team 5196,2014-01-05T01:45:53Z,55,14423,18
5414,Pearadox FRC 5414,2014-06-22T02:34:06Z,229,78094,455
6473,rockstarrobotics,2011-05-18T23:32:37Z,43,4283,41
7037,Jeunes D'Argent 7037,2011-10-29T17:46:13Z,3400,273,1
7498,WingusDingusRobotics,2013-01-09T02:08:52Z,461,260112,163
8027,Droids Robotics,2014-03-02T21:38:43Z,1940,445234,99
