district,team,total points,average points,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
FIM,4983,458,45.8,124,33,0,24,22,104,49,28,48,26,,,,,
FIM,3770,1278,98.3076923076923,122,106,0,0,200,140,267,156,108,68,48,25,38,,
FIM,2619,1495,106.78571428571429,120,55,0,20,162,119,283,145,141.0,129,111,43,96,146,66
FIM,7790,259,51.8,119,46,0,35,59,,,,,,,,,,
FIM,5843,523,65.375,118,58,0,23,58,133,60,73,,,,,,,
FIM,123,1084,72.26666666666667,117,45,0,0,107,87,102,122,127,49,84,85,33,71,55
FIM,5167,618,61.8,117,89,0,32,18,65,32,116,103,46,,,,,
FIM,314,1371,97.92857142857143,116,58,0,27,229,162,220,30,237.0,272,105,77,17,32,26
FIM,7166,279,46.5,113,54,0,20,48,44,,,,,,,,,
FIM,4377,1004,83.66666666666667,112,165,0,51,86,89,98,145,50,71,78,59,,,
FIM,5424,607,67.44444444444444,112,60,0,44,120,120,47,44,60,,,,,,
FIM,7054,489,81.5,112,169,0,12,61,135,,,,,,,,,
FIM,9255,112,112.0,112,,,,,,,,,,,,,,
FIM,4327,645,53.75,111,119,0,0,54,55,123,43,18,58,25,39,,,
FIM,6637,737,105.28571428571429,111,212,0,51,109,105,149,,,,,,,,
FIM,3875,920,70.76923076923077,111,134,0,97,103,55,133,49,94,19,37,27,61,,
FIM,74,1377,91.8,110,160,0,12,61,142,223,162,63,206,39,20,109,33,37
FIM,3656,1415,108.84615384615384,110,61,0,0,211,254,165,135,141,61,143,95,39,,
FIM,5534,474,52.666666666666664,109,50,0,10,26,95,37,63,84,,,,,,
FIM,4405,865,78.63636363636364,109,100,0,29,35,194,239,19,104.0,55,55,30,,,
FIM,9215,108,108.0,108,,,,,,,,,,,,,,
FIM,7782,434,86.8,108,119,0,72,135,,,,,,,,,,
FIM,6753,695,99.28571428571429,108,140,0,0,84,152,211,,,,,,,,
FIM,7056,467,77.83333333333333,108,145,0,46,59,109,,,,,,,,,
FIM,6861,489,81.5,107,129,0,0,126,127,,,,,,,,,
FIM,4453,504,45.81818181818182,106,115,0,0,32,45,53,67,30,21,35,,,,
FIM,9208,106,106.0,106,,,,,,,,,,,,,,
FIM,9245,105,105.0,105,,,,,,,,,,,,,,
FIM,7501,295,59.0,104,59,0,5,127,,,,,,,,,,
FIM,6569,618,88.28571428571429,101,83,0,42,217,35,140,,,,,,,,
FIM,4216,915,76.25,101,92,0,28,115,118,127,132,96,51,25,30,,,
FIM,9207,99,99.0,99,,,,,,,,,,,,,,
FIM,7250,331,55.166666666666664,99,42,0,20,24,146,,,,,,,,,
FIM,5314,486,48.6,99,109,0,11,21,120,24,17,52,33,,,,,
FIM,5612,508,56.44444444444444,98,192,0,20,29,63,47,32,27,,,,,,
FIM,9226,98,98.0,98,,,,,,,,,,,,,,
FIM,1711,1113,79.5,98,182,0,32,57,143,117,100,243.0,121,52,95,25,69,22
FIM,308,1007,67.13333333333334,97,53,0,25,119,57,88,72,60,105,25,72,90,101,43
FIM,4810,551,50.09090909090909,96,20,0,0,48,38,131,70,28,63,57,,,,
FIM,6152,259,32.375,95,57,0,0,26,12,33,36,,,,,,,
FIM,7160,556,92.66666666666667,94,135,0,69,187,71,,,,,,,,,
FIM,2620,782,52.13333333333333,94,205,0,0,41,56,27,64,22,37,44,54,35,44,59
FIM,5235,324,32.4,93,44,0,7,29,33,36,17,37,28,,,,,
FIM,4130,1082,90.16666666666667,93,205,0,73,160,142,38,66,125,66,84,30,,,
FIM,9204,92,92.0,92,,,,,,,,,,,,,,
FIM,3098,1480,105.71428571428571,91,30,0,9,22,373,177,130,208.0,230,35,134,131,46,72
FIM,5535,485,60.625,91,103,,5,52,110,45,35,44,,,,,,
FIM,1940,518,37.0,91,56,0,13,80,31,112,16,16,16,16,32,,17,22
FIM,5603,738,82.0,91,122,0,0,22,185,121,42,155,,,,,,
FIM,9242,89,89.0,89,,,,,,,,,,,,,,
FIM,3667,1061,81.61538461538461,88,104,0,32,257,200,57,57,23,123,47,51,22,,
FIM,3096,535,35.666666666666664,86,46,0,18,14,55,48,13,15,30,47,34,47,53,29
FIM,3618,1454,111.84615384615384,86,125,0,29,124,193,184,173,158,122,116,102,42,,
FIM,6005,222,27.75,80,30,0,0,38,29,16,29,,,,,,,
FIM,5860,428,53.5,79,35,0,14,140,40,60,60,,,,,,,
FIM,4325,931,84.63636363636364,79,141,,29,146,58,182,68,64,53,84,27,,,
FIM,8382,139,34.75,77,32,5,25,,,,,,,,,,,
FIM,4004,855,71.25,76,45,0,0,242,141,92,52,53,48,53,53,,,
FIM,4237,977,81.41666666666667,76,161,0,41,62,215,187,50,59,47,44,35,,,
FIM,6532,184,26.285714285714285,72,43,0,0,17,22,30,,,,,,,,
FIM,7226,317,52.833333333333336,69,46,0,26,56,120,,,,,,,,,
FIM,7856,124,24.8,61,19,0,16,28,,,,,,,,,,
FIM,2604,687,45.8,61,51,0,10,16,77,52,89,83,49,36,45,69,31,18
FIM,6610,183,26.142857142857142,60,35,0,8,34,23,23,,,,,,,,
FIM,6570,276,39.42857142857143,60,55,0,17,73,23,48,,,,,,,,
FIM,5560,368,46.0,60,,0,19,55,110,59,40,25,,,,,,
FIM,6098,398,49.75,60,28,0,0,26,46,100,138,,,,,,,
FIM,7244,343,57.166666666666664,59,103,0,29,58,94,,,,,,,,,
FIM,815,663,44.2,59,37,0,0,62,48,47,40,20,115,59,45,36,54,41
FIM,141,1231,82.06666666666666,59,55,0,10,171,184,205,64,91,58,64,78,80,64,48
FIM,9106,59,59.0,59,,,,,,,,,,,,,,
FIM,9241,59,59.0,59,,,,,,,,,,,,,,
FIM,8115,126,31.5,58,53,5,10,,,,,,,,,,,
FIM,3234,794,56.714285714285715,58,24,0,0,17,36,39,116,52,74,88,122,78,90,
FIM,1,779,51.93333333333333,58,93,0,0,37,49,30,47,118,30,46,32,64,89,86
FIM,2586,1425,95.0,58,246,0,52,107,258,104,152,65,68,51,67,69,59,69
FIM,4956,642,64.2,58,48,0,0,208,46,35,59,63,125,,,,,
FIM,8895,95,47.5,57,38,,,,,,,,,,,,,
FIM,6914,186,31.0,57,57,0,0,26,46,,,,,,,,,
FIM,6079,287,35.875,57,34,0,29,109,22,11,25,,,,,,,
FIM,5674,538,59.77777777777778,57,44,0,46,49,162,56,33,91,,,,,,
FIM,5577,430,47.77777777777778,57,67,0,34,79,55,55,32,51,,,,,,
FIM,4967,1427,142.7,57,134,0,0,208,173,227,194,238,196,,,,,
FIM,5247,358,35.8,56,39,0,33,22,62,14,49,18,65,,,,,
FIM,4855,594,54.0,56,56,0,29,125,150,36,37,16,43,46,,,,
FIM,5110,348,34.8,56,22,0,40,64,18,42,27,44,35,,,,,
FIM,8612,173,57.666666666666664,56,107,10,,,,,,,,,,,,
FIM,5555,365,40.55555555555556,56,52,0,12,57,93,19,39,37,,,,,,
FIM,3658,492,37.84615384615385,56,49,0,0,39,57,18,68,48,47,41,22,47,,
FIM,216,472,31.466666666666665,56,26,0,0,28,29,54,37,27,26,66,48,10,19,46
FIM,5066,422,42.2,56,53,0,14,30,24,118,43,36,48,,,,,
FIM,1250,996,66.4,56,30,0,0,117,63,105,153,41,106,53,50,77,58,87
FIM,2137,1592,113.71428571428571,56,55,0,0,143,168,234,223,277.0,240,94,91,179,82,27
FIM,6344,528,75.42857142857143,56,94,0,40,101,36,201,,,,,,,,
FIM,5927,544,68.0,56,45,0,66,184,108,57,28,,,,,,,
FIM,7692,158,31.6,56,22,0,22,58,,,,,,,,,,
FIM,322,332,22.133333333333333,55,55,0,11,10,12,33,24,9,12,13,14,29,37,18
FIM,7491,295,59.0,55,60,0,32,148,,,,,,,,,,
FIM,8126,110,27.5,55,40,5,10,,,,,,,,,,,
FIM,1188,964,68.85714285714286,55,200,0,58,222,50,102,70,61.0,18,34,16,38,59,42
FIM,1322,977,65.13333333333334,55,56,0,4,143,178,124,46,108,71,27,46,65,38,16
FIM,5090,742,74.2,55,289,0,25,20,94,89,63,62,45,,,,,
FIM,6029,170,21.25,54,28,0,0,24,17,23,24,,,,,,,
FIM,7768,186,37.2,54,54,0,37,41,,,,,,,,,,
FIM,6121,563,70.375,54,45,0,34,103,176,53,98,,,,,,,
FIM,2851,1041,69.4,54,49,0,0,243,59,44,71,38,105,125,91,44,74,44
FIM,4398,349,29.083333333333332,53,8,0,10,8,26,54,24,58,47,15,46,,,
FIM,7553,360,72.0,53,49,0,42,216,,,,,,,,,,
FIM,5231,254,25.4,52,30,0,0,13,13,38,16,18,74,,,,,
FIM,5982,205,25.625,52,21,0,0,37,47,24,24,,,,,,,
FIM,5229,349,34.9,52,25,0,0,42,58,27,36,65,44,,,,,
FIM,7794,100,20.0,52,14,0,5,29,,,,,,,,,,
FIM,4998,313,31.3,52,36,0,9,25,54,39,14,39,45,,,,,
FIM,4835,343,31.181818181818183,51,27,0,0,26,41,21,59,20,28,70,,,,
FIM,2405,543,38.785714285714285,51,113,0,10,61,61,38,61,100.0,24,14,38,19,25,28
FIM,5676,502,55.77777777777778,51,58,0,61,171,56,52,27,26,,,,,,
FIM,4994,568,56.8,51,94,0,46,32,112,37,49,96,51,,,,,
